Description,Manufacturer,Manufacturer Part Number,Additional requirements,Reference designator,Quantity
"310091085, SMD IC Memory;16GB eMMC 5.1;VFBGA-153, A.2 (Design)",Kingston,EMMC16G-TB29-PZ90,,U3,1
"310091347, SMD IC Memory;32Kb-IIC Serial EEPROM;SOT23-5, A.2 (Design)",FMD,FT24C32A-ELRT,,U20,1
"310091406, SMD IC Memory;DDR4 2GB(1Gb x 16)-1600MHz 3200Mbps-13.3*10.3*1.1mm;FBGA-96, A.2 (Design)",Samsung,K4AAG165WA-BCWE,,U2,1
"310100628, SMD IC ADC 10Bit 2 Input 1 SAR;VSSOP-8, A.6 (Design)",TI,ADC102S021CIMMX/NOPB,,U11,1
"310110021, SMD IC HDMI Transmitter;QFN-64, A.2 (Design)",ITE,IT66121FN/BX,,U7,1
"310110503, SMD IC Clock/Timing;SOIC-8(W3.90mm), A.2 (Design)",TI,BQ32002DR,,U18,1
"310991199, SMD IC 1000Base-T Ethernet Transceiver;QFN40, A.2 (Design)",Realtek,RTL8211F-VD-CG,,U6,1
"311021319, SMD Side  Button 160gf;5P-L4.65*W3.5*H1.85mm, A.2 (Design)",ROKI,TS23M-BN-PT-PF,,SW1 SW2 SW3,3
"317990527, SMD Combo Module;100P-13.3*13.4*2mm, A.2 (Design)",TI,WL1807MODGIMOCR/T,,U5,1
"319015424, PCB;BeaglePlay_Rev A2-Matte Black, White silkscreen, A.3 (Design)",,,80*80*1.6mm-化学沉金-FR4,,1
"320010495, DIP USB A TYPE;4P-2.0-Side, A.2 (Design)",山旗,ST-USB-117A,,J13,1
"320010943, SMD USB Type-c;12P+4-8.9*7.3*3.2mm, A.5 (Design)",MTCONN,UBF31-0171,,J14,1
"320010999, DIP HDMI TYPE A;19+4P-7.8*23.1*16.4mm-90D, A.2 (Design)",SUNGTECH,ST-HD-001C,,J4,1
"320020079, DIP Black Male Header VERT;1*3P-2.54-2.54-11.6/3.0mm, A.5 (Design)",思拓展,P125-1103A1BS116A1,,J6,1
